Date,Close/Last,Volume,Open,High,Low
01/31/2025,$404.60,83568220,$401.53,$419.99,$401.34
01/30/2025,$400.28,98092880,$410.78,$412.50,$384.41
01/29/2025,$389.10,68033650,$395.21,$398.5899,$384.48
01/28/2025,$398.09,48910680,$396.91,$400.59,$386.50
01/27/2025,$397.15,58125510,$394.80,$406.69,$389.00
01/24/2025,$406.58,56427150,$414.45,$418.88,$405.78
01/23/2025,$412.38,50690590,$416.06,$420.73,$408.95
01/22/2025,$415.11,60963340,$416.81,$428.00,$414.59
01/21/2025,$424.07,87320890,$432.64,$433.20,$406.31
01/17/2025,$426.50,94991430,$421.50,$439.74,$419.75
01/16/2025,$413.82,68335150,$423.49,$424.00,$409.13
01/15/2025,$428.22,81375460,$409.90,$429.80,$405.661
01/14/2025,$396.36,84565020,$414.34,$422.64,$394.54
01/13/2025,$403.31,67580490,$383.21,$403.79,$380.07
01/10/2025,$394.74,62287330,$391.40,$399.28,$377.29
01/08/2025,$394.94,73038810,$392.95,$402.4999,$387.40
01/07/2025,$394.36,75699530,$405.83,$414.33,$390.00
01/06/2025,$411.05,85516530,$423.20,$426.43,$401.70
01/03/2025,$410.44,95423330,$381.48,$411.8799,$379.45
01/02/2025,$379.28,109710700,$390.10,$392.7299,$373.04
